sefer_id,tren_id,hat_id,planlanan_kalkis,yolcu_sayisi,bilet_kontrol_cihaz_versiyonu,makinist_sicil_no,yemek_servisi_var_mi,hava_durumu,gecikme_suresi_dk
SEFER-00587,TREN-154,HAT-07,2026-06-01 10:30:00,226,v2.1.0,M-7618,1,Acik,17.5
SEFER-00588,TREN-127,HAT-15,2026-04-04 03:45:00,450,v2.4.1,M-2380,0,,5.2
SEFER-00589,TREN-169,HAT-06,2026-03-08 19:15:00,159,v2.4.1,M-3621,0,Acik,17.2
SEFER-00590,TREN-104,HAT-15,2026-05-17 04:30:00,421,v1.0.4,M-7110,1,Sisli,58.4
SEFER-00591,TREN-165,HAT-06,2026-01-22 09:00:00,279,v2.4.1,M-4868,0,Karli,-999.0
SEFER-00592,TREN-145,HAT-05,2026-02-18 19:15:00,176,v2.4.1,M-8443,0,Acik,14.0
SEFER-00593,TREN-119,HAT-12,14.03.2026 21:45,,v2.4.1,M-9622,1,Yagmurlu,14.5
SEFER-00594,TREN-176,HAT-09,2026-03-30 19:45:00,375,v3.0.0,M-7830,0,Sisli,81.6
SEFER-00595,TREN-119,HAT-09,2026-01-22 22:45:00,410,v2.1.0,M-8461,1,yagmurlu,27.9
SEFER-00596,TREN-105,HAT-12,2026-01-28 00:30:00,486,v2.4.1,M-1659,0,Sisli,16.2
SEFER-00597,TREN-116,HAT-06,2026-02-22 06:30:00,455,v1.0.4,M-5999,1,Yagmurlu,9.5
SEFER-00598,TREN-128,HAT-03,21.05.2026 01:45,84,v3.0.0,M-6534,1,Acik,5.4
SEFER-00599,TREN-161,HAT-14,2026-05-04 03:15:00,285,v2.4.1,M-2463,1,Sisli,26.0
SEFER-00600,TREN-150,HAT-04,2026-06-03 21:45:00,,v1.0.4,M-3713,0,,22.1
SEFER-00601,TREN-174,HAT-11,2026-05-17 03:30:00,336,v1.0.4,M-9548,0,Acik,2.1
SEFER-00602,TREN-161,HAT-09,2026-06-03 07:00:00,142,v3.0.0,M-2386,1,Acik,13.2
SEFER-00603,TREN-152,HAT-10,2026-01-08 22:45:00,,v2.4.1,M-7258,1,Sisli,17.0
SEFER-00604,TREN-112,HAT-02,2026-01-18 04:15:00,443,v2.1.0,M-1965,1,Acik,1.7
SEFER-00605,TREN-124,HAT-01,2026-05-02 23:00:00,122,v1.0.4,M-1849,0,Sisli,37.4
SEFER-00606,TREN-131,HAT-13,2026-04-13 03:15:00,247,v3.0.0,M-2072,1,Acik,3.1
SEFER-00607,TREN-104,HAT-07,2026-04-19 08:15:00,-36,v2.1.0,M-5990,1,yagmurlu,29.2
SEFER-00608,TREN-158,HAT-02,2026-05-25 16:15:00,326,v3.0.0,M-8401,0,Yagmurlu,23.2
SEFER-00609,TREN-101,HAT-14,2026-03-21 13:30:00,80,v3.0.0,M-6757,0,Sisli,18.2
SEFER-00610,TREN-175,HAT-14,29.03.2026 08:30,338,v1.0.4,M-3288,1,Acik,13.6
SEFER-00611,TREN-156,HAT-04,2026-04-15 10:30:00,375,v2.4.1,M-5029,1,Karli,53.9
SEFER-00612,TREN-144,HAT-04,20.03.2026 17:30,380,v1.0.4,M-3843,1,Acik,-999.0
SEFER-00613,TREN-172,HAT-15,2026-04-30 02:45:00,453,v3.0.0,M-3022,1,,10.5
SEFER-00614,TREN-149,HAT-14,2026-04-13 20:30:00,465,v2.4.1,M-4161,1,,41.2
SEFER-00615,TREN-102,HAT-04,2026-05-08 01:00:00,413,v2.4.1,M-4623,0,Karli,17.1
SEFER-00616,TREN-164,HAT-06,2026-01-07 12:30:00,360,v3.0.0,M-2817,1,Yagmurlu,8.1
SEFER-00617,TREN-173,HAT-09,2026-03-26 13:15:00,339,v1.0.4,M-3101,0,,11.5
SEFER-00618,TREN-117,HAT-05,2026-06-09 13:15:00,190,v2.4.1,M-8437,0,Yagmurlu,26.8
SEFER-00619,TREN-155,HAT-11,2026-04-26 03:00:00,482,v3.0.0,M-9119,1,Sisli,18.2
SEFER-00620,TREN-167,HAT-13,08.01.2026 16:15,322,v2.4.1,M-2340,0,Sisli,18.8
SEFER-00621,TREN-129,HAT-12,2026-03-14 13:00:00,218,v1.0.4,M-8863,1,Karli,15.6
SEFER-00622,TREN-104,HAT-10,2026-05-17 07:30:00,292,v2.4.1,M-9514,0,Yagmurlu,49.9
SEFER-00623,TREN-110,HAT-13,2026-04-13 15:45:00,346,v1.0.4,M-7183,1,Acik,0.9
SEFER-00624,TREN-109,HAT-13,2026-01-23 00:00:00,204,v1.0.4,M-1855,1,yagmurlu,17.8
SEFER-00625,TREN-149,HAT-07,2026-01-17 14:45:00,387,v3.0.0,M-2659,1,yagmurlu,8.1
SEFER-00626,TREN-104,HAT-08,2026-03-30 12:30:00,56,v2.1.0,M-3064,1,yagmurlu,20.5
SEFER-00627,TREN-146,HAT-07,2026-03-24 09:45:00,72,v2.4.1,M-6098,0,Acik,11.4
SEFER-00628,TREN-119,HAT-08,2026-02-22 22:30:00,315,v2.1.0,M-9308,0,yagmurlu,18.7
SEFER-00629,TREN-155,HAT-06,2026-02-03 14:15:00,85,v3.0.0,M-6425,1,Karli,17.1
SEFER-00630,TREN-179,HAT-05,2026-03-13 16:30:00,454,v2.1.0,M-4772,1,Acik,6.9
SEFER-00631,TREN-180,HAT-04,2026-02-11 01:45:00,219,v1.0.4,M-6944,0,,4.7
SEFER-00632,TREN-110,HAT-06,2026-01-06 08:00:00,373,v1.0.4,M-4262,0,yagmurlu,42.4
SEFER-00633,TREN-137,HAT-03,2026-02-07 14:30:00,333,v2.4.1,M-2657,0,Yagmurlu,10.0
SEFER-00634,TREN-118,HAT-07,2026-04-23 00:00:00,283,v2.1.0,M-9633,1,Yagmurlu,12.6
SEFER-00635,TREN-109,HAT-02,2026-01-25 21:15:00,243,v2.1.0,M-1756,0,,4.7
SEFER-00636,TREN-169,HAT-05,2026-05-16 00:15:00,,v3.0.0,M-4428,0,Karli,35.6
SEFER-00637,TREN-161,HAT-13,2026-04-24 11:00:00,380,v2.1.0,M-6272,1,yagmurlu,12.7
SEFER-00638,TREN-168,HAT-12,2026-03-24 17:45:00,376,v2.1.0,M-8406,0,yagmurlu,28.5
SEFER-00639,TREN-151,HAT-04,2026-02-22 11:45:00,481,v1.0.4,M-5834,1,Karli,17.9
SEFER-00640,TREN-167,HAT-06,2026-02-09 12:00:00,268,v3.0.0,M-6194,1,Sisli,21.3
SEFER-00641,TREN-149,HAT-01,2026-01-31 21:45:00,233,v1.0.4,M-5528,0,Acik,3.5
SEFER-00642,TREN-113,HAT-02,13.01.2026 10:30,150,v2.4.1,M-4123,0,,4.0
SEFER-00643,TREN-170,HAT-15,2026-02-14 19:00:00,227,v1.0.4,M-8733,0,Sisli,54.2
SEFER-00644,TREN-151,HAT-04,2026-02-08 23:15:00,452,v3.0.0,M-6581,0,yagmurlu,22.2
SEFER-00645,TREN-141,HAT-14,2026-02-02 07:45:00,157,v2.4.1,M-3276,0,Sisli,31.0
SEFER-00646,TREN-140,HAT-12,2026-01-02 21:45:00,223,v3.0.0,M-9808,1,Yagmurlu,13.4
SEFER-00647,TREN-142,HAT-10,2026-01-05 05:00:00,219,v3.0.0,M-7247,0,yagmurlu,17.9
SEFER-00648,TREN-151,HAT-02,2026-04-02 11:45:00,341,v2.1.0,M-2709,0,Sisli,25.2
SEFER-00649,TREN-105,HAT-14,28.04.2026 20:45,247,v1.0.4,M-8449,0,Karli,17.3
SEFER-00650,TREN-148,HAT-09,2026-01-03 03:15:00,250,v3.0.0,M-8835,0,Yagmurlu,53.7
SEFER-00651,TREN-150,HAT-15,2026-05-28 23:15:00,271,v2.4.1,M-4325,1,,10.9
SEFER-00652,TREN-136,HAT-04,2026-01-02 12:15:00,359,v3.0.0,M-8539,1,Yagmurlu,15.5
SEFER-00653,TREN-174,HAT-01,2026-05-07 01:00:00,283,v2.4.1,M-7407,0,Karli,27.1
SEFER-00654,TREN-154,HAT-04,2026-01-31 21:45:00,143,v1.0.4,M-4927,0,,8.4
SEFER-00655,TREN-136,HAT-15,2026-04-18 10:30:00,,v3.0.0,M-7738,0,,12.8
SEFER-00656,TREN-148,HAT-02,2026-05-10 04:00:00,259,v1.0.4,M-8572,0,Sisli,16.8
SEFER-00657,TREN-110,HAT-11,2026-04-29 18:45:00,488,v1.0.4,M-3236,1,Yagmurlu,-999.0
SEFER-00658,TREN-160,HAT-08,20.03.2026 23:00,415,v2.1.0,M-3794,0,Sisli,16.5
SEFER-00659,TREN-178,HAT-02,2026-01-31 11:30:00,136,v2.4.1,M-3514,1,Acik,-999.0
SEFER-00660,TREN-146,HAT-03,2026-02-07 05:00:00,276,v1.0.4,M-7399,1,,0.5
SEFER-00661,TREN-157,HAT-01,13.04.2026 08:00,153,v1.0.4,M-1262,1,Yagmurlu,22.7
SEFER-00662,TREN-104,HAT-01,2026-02-27 18:15:00,,v2.1.0,M-3736,0,Acik,25.9
SEFER-00663,TREN-154,HAT-09,2026-01-19 15:30:00,369,v3.0.0,M-2979,0,Yagmurlu,35.2
SEFER-00664,TREN-128,HAT-02,2026-03-03 02:30:00,211,v1.0.4,M-5562,1,Acik,4.9
SEFER-00665,TREN-106,HAT-02,2026-06-01 08:15:00,305,v2.1.0,M-5127,0,Acik,22.5
SEFER-00666,TREN-177,HAT-06,2026-04-18 22:45:00,405,v2.4.1,M-8899,0,Yagmurlu,12.0
SEFER-00667,TREN-143,HAT-01,2026-04-15 02:45:00,169,v2.1.0,M-1347,0,yagmurlu,16.9
SEFER-00668,TREN-140,HAT-04,2026-05-07 04:45:00,80,v2.1.0,M-7156,0,Yagmurlu,12.7
SEFER-00669,TREN-105,HAT-04,2026-06-07 20:45:00,192,v3.0.0,M-5726,0,Karli,25.3
SEFER-00670,TREN-130,HAT-14,2026-05-06 07:30:00,77,v2.1.0,M-7250,1,,54.5
SEFER-00671,TREN-124,HAT-08,18.04.2026 17:00,148,v2.1.0,M-3057,0,Acik,20.1
SEFER-00672,TREN-123,HAT-10,2026-04-04 22:15:00,421,v2.1.0,M-7947,0,Sisli,18.7
SEFER-00673,TREN-178,HAT-04,2026-02-21 23:30:00,153,v2.4.1,M-7524,1,Karli,34.8
SEFER-00674,TREN-122,HAT-08,2026-03-17 13:45:00,439,v1.0.4,M-7249,1,Yagmurlu,25.1
SEFER-00675,TREN-111,HAT-13,2026-06-04 22:30:00,422,v3.0.0,M-5640,1,Yagmurlu,11.0
SEFER-00676,TREN-172,HAT-10,2026-03-24 07:00:00,150,v2.4.1,M-9051,1,Yagmurlu,-999.0
SEFER-00677,TREN-154,HAT-07,2026-06-15 21:30:00,351,v1.0.4,M-7304,0,Acik,5.3
SEFER-00678,TREN-125,HAT-13,2026-03-16 17:30:00,228,v2.4.1,M-1945,1,yagmurlu,30.3
SEFER-00679,TREN-155,HAT-12,2026-02-12 08:15:00,235,v2.1.0,M-5281,1,,22.3
SEFER-00680,TREN-119,HAT-05,12.02.2026 11:15,379,v1.0.4,M-9495,0,,24.9
SEFER-00681,TREN-155,HAT-03,2026-05-22 20:45:00,322,v3.0.0,M-2456,0,,21.8
SEFER-00682,TREN-174,HAT-13,2026-05-17 08:30:00,157,v2.1.0,M-9056,0,,15.1
SEFER-00683,TREN-113,HAT-02,2026-05-13 07:45:00,425,v2.1.0,M-4244,1,Sisli,26.9
SEFER-00684,TREN-124,HAT-09,2026-06-12 02:00:00,145,v2.1.0,M-5249,1,Yagmurlu,8.6
SEFER-00685,TREN-157,HAT-11,2026-06-06 01:00:00,200,v2.4.1,M-1486,0,Acik,4.7
SEFER-00686,TREN-162,HAT-08,26.04.2026 01:00,53,v1.0.4,M-4458,0,,8.7
SEFER-00687,TREN-149,HAT-10,2026-03-31 00:30:00,222,v2.4.1,M-6164,0,yagmurlu,13.6
SEFER-00688,TREN-147,HAT-11,2026-03-10 06:45:00,497,v3.0.0,M-3275,0,Karli,-999.0
SEFER-00689,TREN-178,HAT-02,2026-05-29 13:30:00,177,v3.0.0,M-9436,1,Karli,21.0
SEFER-00690,TREN-125,HAT-01,20.04.2026 03:30,73,v3.0.0,M-7556,0,,3.9
SEFER-00691,TREN-145,HAT-07,2026-06-10 12:45:00,101,v2.1.0,M-9520,0,,4.9
SEFER-00692,TREN-117,HAT-08,2026-05-17 05:00:00,330,v1.0.4,M-8899,0,Sisli,16.8
SEFER-00693,TREN-132,HAT-04,2026-01-30 08:00:00,64,v3.0.0,M-5593,0,Yagmurlu,44.5
SEFER-00694,TREN-133,HAT-11,2026-03-23 12:00:00,374,v2.4.1,M-4666,0,,6.8
SEFER-00695,TREN-144,HAT-07,2026-06-05 14:45:00,488,v1.0.4,M-5767,0,Sisli,31.5
SEFER-00696,TREN-115,HAT-02,2026-02-28 07:15:00,238,v1.0.4,M-6092,0,Yagmurlu,37.2
SEFER-00697,TREN-176,HAT-09,2026-02-02 15:45:00,236,v2.1.0,M-2746,1,,27.2
SEFER-00698,TREN-102,HAT-09,2026-05-26 17:45:00,201,v2.4.1,M-3389,0,Yagmurlu,24.9
SEFER-00699,TREN-177,HAT-06,2026-02-22 23:00:00,343,v2.4.1,M-7171,0,Sisli,25.0
SEFER-00700,TREN-143,HAT-03,2026-05-22 13:15:00,165,v2.1.0,M-8987,1,,13.3
SEFER-00701,TREN-139,HAT-14,2026-04-23 18:15:00,222,v3.0.0,M-7407,0,Sisli,36.3
SEFER-00702,TREN-168,HAT-12,2026-02-18 13:30:00,488,v1.0.4,M-5981,1,yagmurlu,13.0
SEFER-00703,TREN-121,HAT-10,2026-01-24 17:45:00,124,v1.0.4,M-6934,0,Yagmurlu,20.5
SEFER-00704,TREN-119,HAT-07,2026-06-12 10:45:00,78,v1.0.4,M-2922,1,Acik,4.4
SEFER-00705,TREN-176,HAT-07,2026-06-15 18:15:00,67,v2.1.0,M-7150,0,Acik,12.8
SEFER-00706,TREN-160,HAT-14,2026-05-20 21:45:00,238,v3.0.0,M-9351,0,Acik,1.3
SEFER-00707,TREN-103,HAT-10,2026-04-09 00:45:00,456,v3.0.0,M-5888,0,yagmurlu,10.0
SEFER-00708,TREN-113,HAT-06,2026-01-12 02:15:00,251,v3.0.0,M-2047,0,yagmurlu,25.0
SEFER-00709,TREN-127,HAT-11,2026-06-03 10:00:00,142,v1.0.4,M-1641,0,Acik,8.1
SEFER-00710,TREN-174,HAT-04,22.04.2026 15:15,435,v2.4.1,M-6956,0,Acik,0.9
SEFER-00711,TREN-155,HAT-11,2026-01-01 06:15:00,315,v3.0.0,M-6127,1,Karli,25.8
SEFER-00712,TREN-178,HAT-09,2026-03-29 09:15:00,72,v2.1.0,M-3198,0,Yagmurlu,18.4
SEFER-00713,TREN-176,HAT-06,2026-02-17 14:15:00,331,v2.1.0,M-7554,1,Karli,18.0
SEFER-00714,TREN-111,HAT-05,2026-04-26 17:45:00,154,v2.1.0,M-7097,0,Acik,19.9
SEFER-00715,TREN-154,HAT-14,2026-01-27 10:30:00,63,v1.0.4,M-9984,1,yagmurlu,10.8
SEFER-00716,TREN-109,HAT-06,2026-04-20 12:00:00,189,v1.0.4,M-2604,1,Yagmurlu,28.3
SEFER-00717,TREN-129,HAT-07,2026-06-12 16:00:00,319,v3.0.0,M-2565,1,,20.8
SEFER-00718,TREN-174,HAT-14,2026-02-18 09:30:00,137,v2.4.1,M-9711,1,Karli,54.3
SEFER-00719,TREN-162,HAT-10,23.01.2026 00:30,129,v2.4.1,M-1866,1,,1.4
SEFER-00720,TREN-132,HAT-11,2026-04-15 03:45:00,231,v3.0.0,M-9529,0,Sisli,22.0
SEFER-00721,TREN-140,HAT-11,2026-05-27 16:00:00,210,v2.1.0,M-2534,0,Acik,10.1
SEFER-00722,TREN-174,HAT-01,2026-01-15 16:30:00,497,v2.1.0,M-8858,1,Acik,32.7
SEFER-00723,TREN-166,HAT-11,2026-04-26 18:00:00,475,v2.4.1,M-5001,0,,10.1
SEFER-00724,TREN-178,HAT-08,2026-06-14 21:15:00,318,v2.1.0,M-9416,1,Yagmurlu,9.9
SEFER-00725,TREN-107,HAT-07,2026-03-26 19:45:00,223,v1.0.4,M-5752,1,,12.9
SEFER-00726,TREN-162,HAT-05,15.02.2026 10:15,251,v1.0.4,M-8586,1,Yagmurlu,33.6
SEFER-00727,TREN-108,HAT-06,2026-01-02 06:45:00,52,v2.4.1,M-1145,0,Karli,37.1
SEFER-00728,TREN-156,HAT-08,2026-02-03 23:00:00,260,v2.4.1,M-4704,1,Acik,-999.0
SEFER-00729,TREN-151,HAT-06,2026-02-21 07:30:00,465,v3.0.0,M-3651,0,Karli,26.2
SEFER-00730,TREN-146,HAT-12,2026-03-16 07:00:00,151,v3.0.0,M-7898,1,Acik,12.1
SEFER-00731,TREN-105,HAT-03,2026-04-24 22:15:00,186,v2.1.0,M-6322,1,Acik,5.5
SEFER-00732,TREN-165,HAT-12,2026-06-07 20:45:00,455,v1.0.4,M-4874,0,Acik,1.3
SEFER-00733,TREN-144,HAT-07,2026-06-16 21:00:00,298,v2.1.0,M-9376,0,Acik,14.3
SEFER-00734,TREN-132,HAT-05,2026-05-12 02:00:00,176,v1.0.4,M-9230,0,,17.2
SEFER-00735,TREN-125,HAT-14,2026-04-12 03:15:00,69,v3.0.0,M-1289,0,Karli,61.5
SEFER-00736,TREN-112,HAT-14,2026-01-09 22:45:00,374,v1.0.4,M-9353,1,Yagmurlu,10.5
SEFER-00737,TREN-107,HAT-05,2026-01-20 00:30:00,414,v2.1.0,M-1669,0,Sisli,17.8
SEFER-00738,TREN-107,HAT-11,2026-05-08 08:30:00,360,v3.0.0,M-6956,1,Acik,15.6
SEFER-00739,TREN-139,HAT-02,2026-01-17 18:00:00,116,v2.4.1,M-4903,1,Karli,29.5
SEFER-00740,TREN-127,HAT-10,2026-03-07 19:00:00,430,v2.1.0,M-4160,1,yagmurlu,19.3
SEFER-00741,TREN-113,HAT-02,2026-06-10 23:30:00,439,v2.1.0,M-4140,1,Yagmurlu,15.6
SEFER-00742,TREN-171,HAT-12,2026-02-13 08:30:00,417,v3.0.0,M-9581,0,Acik,34.2
SEFER-00743,TREN-122,HAT-10,2026-02-17 00:15:00,81,v3.0.0,M-9723,0,,2.1
SEFER-00744,TREN-122,HAT-08,2026-05-09 08:45:00,360,v2.1.0,M-1145,1,Karli,-999.0
SEFER-00745,TREN-165,HAT-12,2026-05-04 05:30:00,412,v1.0.4,M-9741,0,Karli,23.0
SEFER-00746,TREN-138,HAT-01,2026-04-20 09:15:00,118,v2.1.0,M-4440,0,Karli,45.7
SEFER-00747,TREN-101,HAT-11,2026-03-01 13:30:00,331,v2.4.1,M-6318,0,Karli,27.8
SEFER-00748,TREN-102,HAT-14,2026-03-02 22:15:00,181,v1.0.4,M-7258,1,Acik,7.7
SEFER-00749,TREN-178,HAT-09,2026-02-05 10:45:00,347,v2.1.0,M-8308,0,,16.5
SEFER-00750,TREN-156,HAT-06,26.01.2026 13:45,144,v2.1.0,M-5621,0,Yagmurlu,10.1
SEFER-00751,TREN-140,HAT-03,2026-06-01 07:15:00,146,v3.0.0,M-7594,0,Acik,11.5
SEFER-00752,TREN-168,HAT-03,2026-05-05 06:00:00,60,v1.0.4,M-3165,0,Acik,17.5
SEFER-00753,TREN-111,HAT-05,2026-01-25 14:00:00,-7,v1.0.4,M-4314,0,yagmurlu,21.3
SEFER-00754,TREN-162,HAT-13,2026-04-07 07:45:00,295,v2.4.1,M-9906,0,Yagmurlu,20.8
SEFER-00755,TREN-103,HAT-14,2026-01-08 20:00:00,478,v1.0.4,M-4713,1,Sisli,16.5
SEFER-00756,TREN-150,HAT-03,2026-03-02 13:30:00,246,v1.0.4,M-9057,0,,21.6
SEFER-00757,TREN-115,HAT-04,2026-01-18 14:30:00,110,v1.0.4,M-3475,0,Karli,40.7
SEFER-00758,TREN-155,HAT-09,2026-02-27 09:15:00,391,v2.4.1,M-2702,1,,13.6
SEFER-00759,TREN-164,HAT-11,2026-03-05 05:30:00,89,v2.1.0,M-6247,0,Acik,19.8
SEFER-00760,TREN-150,HAT-08,2026-05-04 08:45:00,268,v2.1.0,M-3979,1,,13.3
SEFER-00761,TREN-146,HAT-06,2026-03-26 14:45:00,358,v2.1.0,M-7278,1,,4.1
SEFER-00762,TREN-171,HAT-08,2026-04-03 04:45:00,246,v2.1.0,M-2429,0,Acik,8.7
SEFER-00763,TREN-147,HAT-01,2026-02-04 22:00:00,118,v2.1.0,M-5828,1,Acik,0.6
SEFER-00764,TREN-119,HAT-14,2026-05-26 21:45:00,78,v2.1.0,M-7184,0,,1.5
SEFER-00765,TREN-155,HAT-06,2026-01-10 11:00:00,478,v2.4.1,M-3314,0,yagmurlu,28.4
SEFER-00766,TREN-132,HAT-02,2026-01-03 09:45:00,430,v2.4.1,M-8703,1,Yagmurlu,31.8
SEFER-00767,TREN-144,HAT-08,2026-05-14 14:00:00,378,v2.1.0,M-1178,1,Acik,9.3
SEFER-00768,TREN-155,HAT-11,2026-06-12 01:45:00,342,v2.1.0,M-5453,0,yagmurlu,11.7
SEFER-00769,TREN-167,HAT-07,2026-06-12 13:15:00,78,v1.0.4,M-8674,1,Yagmurlu,13.0
SEFER-00770,TREN-141,HAT-11,2026-04-20 19:45:00,461,v1.0.4,M-2710,0,Karli,35.4
SEFER-00771,TREN-147,HAT-10,14.05.2026 03:30,327,v2.4.1,M-4075,0,Acik,0.7
SEFER-00772,TREN-105,HAT-04,2026-02-16 04:00:00,338,v2.4.1,M-1138,1,Sisli,15.5
SEFER-00773,TREN-137,HAT-07,2026-03-27 14:15:00,232,v3.0.0,M-9250,0,Yagmurlu,20.1
SEFER-00774,TREN-165,HAT-13,13.05.2026 12:15,294,v2.1.0,M-3482,1,yagmurlu,28.3
SEFER-00775,TREN-111,HAT-15,2026-04-18 01:00:00,160,v2.1.0,M-9218,1,,10.6
SEFER-00776,TREN-158,HAT-13,2026-01-23 15:30:00,270,v3.0.0,M-4917,0,Acik,22.1
SEFER-00777,TREN-179,HAT-10,2026-01-14 01:15:00,99,v1.0.4,M-9174,0,Acik,1.5
SEFER-00778,TREN-159,HAT-06,2026-01-30 05:30:00,236,v3.0.0,M-5226,1,Karli,15.9
SEFER-00779,TREN-133,HAT-13,2026-05-30 20:45:00,113,v2.4.1,M-7568,1,yagmurlu,14.7
SEFER-00780,TREN-180,HAT-15,2026-04-27 09:15:00,369,v3.0.0,M-5306,0,Karli,29.7
SEFER-00781,TREN-180,HAT-11,2026-01-10 23:15:00,129,v3.0.0,M-2195,0,Acik,3.4
SEFER-00782,TREN-150,HAT-14,2026-03-21 03:00:00,323,v1.0.4,M-7503,1,Sisli,16.2
SEFER-00783,TREN-126,HAT-07,2026-02-26 08:00:00,298,v2.4.1,M-8447,0,Yagmurlu,30.1
SEFER-00784,TREN-170,HAT-03,2026-06-12 03:45:00,340,v1.0.4,M-6922,1,Acik,44.1
SEFER-00785,TREN-161,HAT-04,2026-01-10 11:15:00,400,v1.0.4,M-3322,0,Sisli,18.1
SEFER-00786,TREN-136,HAT-07,2026-01-15 04:30:00,264,v2.1.0,M-1880,0,yagmurlu,10.4
SEFER-00787,TREN-155,HAT-06,2026-06-14 15:30:00,264,v2.1.0,M-8156,1,Sisli,21.5
SEFER-00788,TREN-174,HAT-07,2026-05-21 17:00:00,151,v2.1.0,M-6304,1,Acik,22.8
SEFER-00789,TREN-102,HAT-03,2026-06-03 06:45:00,212,v2.4.1,M-9531,0,Acik,15.7
SEFER-00790,TREN-158,HAT-14,2026-05-27 13:15:00,346,v2.1.0,M-7884,0,Acik,0.4
SEFER-00791,TREN-177,HAT-07,2026-02-07 03:30:00,397,v2.4.1,M-1265,1,yagmurlu,39.0
SEFER-00792,TREN-140,HAT-09,2026-05-21 00:00:00,283,v3.0.0,M-9571,1,Sisli,20.3
SEFER-00793,TREN-115,HAT-15,2026-01-31 06:45:00,354,v3.0.0,M-5640,0,Yagmurlu,15.8
SEFER-00794,TREN-112,HAT-13,24.05.2026 03:00,-27,v1.0.4,M-8276,0,Acik,6.9
SEFER-00795,TREN-138,HAT-14,2026-03-14 00:15:00,245,v1.0.4,M-6744,1,Acik,2.2
SEFER-00796,TREN-153,HAT-15,21.05.2026 06:45,164,v2.4.1,M-6036,1,yagmurlu,11.3
SEFER-00797,TREN-131,HAT-01,03.06.2026 21:45,,v2.4.1,M-6490,0,Karli,33.4
SEFER-00798,TREN-174,HAT-07,2026-02-11 12:45:00,474,v2.1.0,M-7396,0,Acik,16.2
SEFER-00799,TREN-152,HAT-15,2026-02-24 13:15:00,460,v3.0.0,M-5263,0,Yagmurlu,15.0
SEFER-00800,TREN-142,HAT-04,17.01.2026 03:00,-50,v1.0.4,M-7265,0,yagmurlu,9.7
SEFER-00801,TREN-117,HAT-08,2026-04-19 12:30:00,163,v3.0.0,M-5267,0,Karli,17.2
SEFER-00802,TREN-136,HAT-02,2026-06-09 19:15:00,346,v1.0.4,M-2754,0,Acik,11.2
SEFER-00803,TREN-137,HAT-05,02.06.2026 22:15,235,v1.0.4,M-7778,0,Yagmurlu,13.0
SEFER-00804,TREN-163,HAT-11,2026-01-14 06:15:00,210,v2.1.0,M-5894,0,,23.9
SEFER-00805,TREN-123,HAT-11,2026-04-08 01:00:00,227,v1.0.4,M-3595,1,Sisli,67.8
SEFER-00806,TREN-116,HAT-04,2026-04-14 16:00:00,439,v2.1.0,M-1483,1,Yagmurlu,10.4
SEFER-00807,TREN-118,HAT-04,2026-01-15 11:15:00,97,v3.0.0,M-9123,1,Karli,27.3
SEFER-00808,TREN-166,HAT-07,2026-06-07 15:15:00,483,v2.4.1,M-3714,0,,3.3
SEFER-00809,TREN-163,HAT-07,2026-05-31 22:45:00,467,v3.0.0,M-4272,1,Karli,24.8
SEFER-00810,TREN-148,HAT-15,2026-04-19 05:00:00,311,v2.4.1,M-7525,0,Karli,23.8
SEFER-00811,TREN-115,HAT-03,2026-05-19 07:30:00,175,v2.1.0,M-6151,0,Acik,12.4
SEFER-00812,TREN-102,HAT-06,2026-04-28 17:00:00,340,v3.0.0,M-5646,0,Karli,47.9
SEFER-00813,TREN-168,HAT-04,2026-01-18 19:30:00,463,v3.0.0,M-8130,1,,10.8
SEFER-00814,TREN-141,HAT-04,2026-02-03 21:00:00,190,v2.4.1,M-7272,0,Sisli,16.3
SEFER-00815,TREN-174,HAT-01,2026-02-18 21:00:00,52,v3.0.0,M-1606,0,Sisli,18.3
SEFER-00816,TREN-144,HAT-11,2026-01-04 00:00:00,262,v2.4.1,M-7559,0,,3.6
SEFER-00817,TREN-172,HAT-13,2026-02-23 16:45:00,406,v1.0.4,M-7126,0,Sisli,21.8
SEFER-00818,TREN-104,HAT-04,2026-01-09 09:00:00,491,v1.0.4,M-4131,1,,22.9
SEFER-00819,TREN-169,HAT-01,2026-06-09 16:00:00,106,v2.4.1,M-7218,1,Acik,29.4
SEFER-00820,TREN-122,HAT-15,2026-01-24 18:45:00,125,v3.0.0,M-8320,0,yagmurlu,39.9
SEFER-00821,TREN-167,HAT-09,2026-02-11 07:45:00,214,v2.4.1,M-2356,1,,16.6
SEFER-00822,TREN-172,HAT-14,2026-05-30 05:15:00,155,v1.0.4,M-4481,0,,0.8
SEFER-00823,TREN-128,HAT-08,2026-05-20 22:45:00,156,v2.4.1,M-6108,1,yagmurlu,22.3
SEFER-00824,TREN-120,HAT-14,2026-03-28 08:00:00,236,v2.1.0,M-7556,0,Sisli,61.9
SEFER-00825,TREN-109,HAT-05,2026-03-14 10:15:00,345,v1.0.4,M-2805,0,,1.1
SEFER-00826,TREN-103,HAT-15,2026-03-20 21:15:00,321,v1.0.4,M-6806,1,Sisli,19.3
SEFER-00827,TREN-128,HAT-03,2026-03-09 23:45:00,,v3.0.0,M-7923,0,Karli,19.6
