tren_id,tren_tipi,uretim_yili,lokomotif_yasi,toplam_kilometre_km,son_servis_gun_sayisi,motor_saglik_skoru,fren_balata_asinma_pct,tekerlek_profil_asinma_mm,depo_sorumlusu_adi,depo_kodu,garanti_durumu,son_bakim_maliyeti_tl,yedek_parca_tedarikci_kodu
TREN-302,YHT,2015,11,1829698,72,61.5,70.1,0.6,Ali Kaya,DEP-ANK,Uzatildi,285149,SUP-8471
TREN-303,Banliyo,2010,16,2146209,10,,56.9,0.6,Mustafa Celik,DEP-IZM,Devam Ediyor,297567,SUP-5501
TREN-304,Banliyo,2017,9,1905954,93,54.8,22.7,2.7,Zeynep Ozturk,DEP-IZM,Bitti,296014,SUP-5135
TREN-305,Yuk,1997,29,1664691,209,62.0,69.3,3.9,Hasan Arslan,DEP-ADA,Devam Ediyor,454143,SUP-2320
TREN-306,YHT,2021,5,1690748,195,52.8,10.8,2.5,Hasan Arslan,DEP-IZM,Uzatildi,282069,SUP-8109
TREN-307,YHT,2023,3,278475,119,93.0,85.4,6.0,Hasan Arslan,DEP-IZM,Uzatildi,44411,SUP-2218
TREN-308,Banliyo,2016,10,238000,93,65.6,91.7,7.3,Ahmet Yilmaz,DEP-IZM,Devam Ediyor,414397,SUP-7525
TREN-309,Banliyo,2002,24,2476894,201,76.8,42.6,9.0,Mustafa Celik,DEP-ADA,Bitti,434448,SUP-2284
TREN-310,YHT,2016,10,1933281,120,66.9,75.4,11.5,Ahmet Yilmaz,DEP-ADA,Bitti,227986,SUP-6347
TREN-311,Yuk,2010,16,1056881,184,68.6,25.8,7.2,Zeynep Ozturk,DEP-SVS,Bitti,219267,SUP-2404
TREN-312,Bolgesel,2017,9,408309,44,68.8,76.6,2.3,Ali Kaya,DEP-ANK,Devam Ediyor,224274,SUP-6188
TREN-313,YHT,2019,7,1965357,186,55.1,17.4,5.5,Fatma Sahin,DEP-ANK,Devam Ediyor,312020,SUP-9395
TREN-314,YHT,2020,6,2424566,49,88.8,83.4,0.6,Zeynep Ozturk,DEP-ANK,Uzatildi,236955,SUP-7353
TREN-315,Banliyo,2002,24,2498975,268,68.8,21.8,4.0,Ahmet Yilmaz,DEP-IST,Bitti,278538,SUP-3390
TREN-316,Anahat,2008,18,1357252,249,67.9,90.3,8.8,Fatma Sahin,DEP-ANK,Devam Ediyor,279943,SUP-4203
TREN-317,Anahat,1995,31,1759652,172,68.8,83.3,5.6,Ali Kaya,DEP-IZM,Uzatildi,245766,SUP-3230
TREN-318,Bolgesel,2010,16,1417780,92,98.0,34.8,8.5,Ali Kaya,DEP-KNY,Bitti,277429,SUP-4971
TREN-319,Yuk,2006,20,577680,290,99.4,25.3,9.3,Hasan Arslan,DEP-IST,Bitti,34111,SUP-8563
TREN-320,Anahat,2017,9,390072,211,56.9,35.7,3.4,Zeynep Ozturk,DEP-KNY,Devam Ediyor,100815,SUP-7932
TREN-321,Yuk,2014,12,2110056,300,75.1,88.2,8.5,Zeynep Ozturk,DEP-IZM,Uzatildi,305026,SUP-1602
TREN-322,Banliyo,2014,12,456440,57,82.6,40.2,7.9,Zeynep Ozturk,DEP-IZM,Bitti,43224,SUP-7547
TREN-323,YHT,2015,11,513585,134,87.0,57.4,8.4,Ali Kaya,DEP-KNY,Bitti,135884,SUP-8303
TREN-324,Banliyo,2017,9,2199105,79,51.2,18.9,5.3,Zeynep Ozturk,DEP-ADA,Devam Ediyor,65012,SUP-2901
TREN-325,Anahat,2004,22,1538925,235,75.8,39.6,1.6,Ali Kaya,DEP-ANK,Bitti,398532,SUP-8412
TREN-326,YHT,2016,10,194728,177,83.5,24.0,11.8,Mehmet Demir,DEP-SVS,Devam Ediyor,147880,SUP-9454
TREN-327,Anahat,2012,14,1888322,238,70.0,25.7,7.9,Ahmet Yilmaz,DEP-ADA,Uzatildi,246562,SUP-7481
TREN-328,Bolgesel,2009,17,1901675,201,,28.3,3.7,Mustafa Celik,DEP-ANK,Uzatildi,388972,SUP-2025
TREN-329,Bolgesel,2006,20,1467279,102,63.0,83.3,6.6,Mustafa Celik,DEP-KNY,Uzatildi,355076,SUP-6134
TREN-330,Yuk,2013,13,579124,180,72.7,24.7,8.2,Mustafa Celik,DEP-SVS,Devam Ediyor,439751,SUP-5873
TREN-331,Bolgesel,2005,21,594347,124,59.1,68.9,6.4,Mustafa Celik,DEP-KNY,Bitti,239277,SUP-3258
TREN-332,Bolgesel,2010,16,2353932,90,74.2,21.9,4.1,Zeynep Ozturk,DEP-IZM,Devam Ediyor,256454,SUP-1878
TREN-333,Yuk,1999,27,918428,198,75.0,52.1,8.4,Fatma Sahin,DEP-IST,Devam Ediyor,237910,SUP-8272
TREN-334,Banliyo,1995,31,1024967,151,,29.1,3.8,Mustafa Celik,DEP-ADA,Bitti,429332,SUP-8492
TREN-335,Banliyo,2011,15,574841,295,88.4,80.0,4.7,Zeynep Ozturk,DEP-ADA,Bitti,451285,SUP-1681
TREN-336,Banliyo,2001,25,1883228,54,82.4,31.0,10.6,Ali Kaya,DEP-IZM,Devam Ediyor,36898,SUP-8368
TREN-337,Yuk,1998,28,1093823,109,79.1,39.8,8.7,Mehmet Demir,DEP-SVS,Devam Ediyor,351754,SUP-8015
TREN-338,Bolgesel,2001,25,348964,293,63.9,55.8,4.2,Ali Kaya,DEP-SVS,Bitti,389126,SUP-5794
TREN-339,Banliyo,2016,10,499403,71,88.9,88.1,11.9,Hasan Arslan,DEP-IST,Devam Ediyor,474582,SUP-3078
TREN-340,Bolgesel,2017,9,1450971,128,83.5,51.6,7.1,Fatma Sahin,DEP-KNY,Devam Ediyor,160885,SUP-7786
TREN-341,YHT,2021,5,2262639,144,93.4,48.6,6.1,Zeynep Ozturk,DEP-ADA,Devam Ediyor,325112,SUP-1040
TREN-342,Yuk,2015,11,1602495,34,69.7,92.3,10.0,Ali Kaya,DEP-IZM,Bitti,279373,SUP-5399
TREN-343,Banliyo,2013,13,647751,291,89.0,86.0,9.3,Hasan Arslan,DEP-KNY,Devam Ediyor,44087,SUP-2631
TREN-344,YHT,2017,9,1950887,235,,91.4,2.8,Hasan Arslan,DEP-IZM,Devam Ediyor,381020,SUP-3161
TREN-345,Anahat,1997,29,1611775,130,,66.5,8.0,Hasan Arslan,DEP-IZM,Uzatildi,47151,SUP-7493
TREN-346,Bolgesel,2008,18,482517,50,,50.5,2.0,Hasan Arslan,DEP-KNY,Devam Ediyor,138589,SUP-9510
TREN-347,YHT,2020,6,605806,218,73.6,29.5,1.5,Ahmet Yilmaz,DEP-IZM,Bitti,442553,SUP-2678
TREN-348,Anahat,1999,27,1705248,70,83.5,15.8,7.0,Fatma Sahin,DEP-IZM,Uzatildi,339983,SUP-3688
TREN-349,Bolgesel,2015,11,734909,212,71.9,28.5,10.8,Mustafa Celik,DEP-ADA,Bitti,93407,SUP-3017
TREN-350,Anahat,2008,18,1419123,73,81.9,31.1,7.4,Zeynep Ozturk,DEP-ADA,Devam Ediyor,398105,SUP-5668
